name,zip
Broadway & W 192 St,10040
14 St & 5 Ave,11215
Smith St & 3 St,11231
Bushwick Ave & McKibbin St,11206
Caton Ave & Argyle Rd,11226
Bailey Ave & W 193 St,10463
Sunken Meadow Comfort Station,10035
10 Ave & W 202 St,10034
Ocean Pkwy & Church Ave,11218
45 St & 4 Ave,11220
Washington Pl & Broadway,10003
Nevins St & Schermerhorn St,11217
3 Ave & Carroll St,11215
Graham Ave & Herbert St,11222
Cleveland Pl & Spring St,10012
Kane St & Clinton St,11201
Jay St & Tech Pl,11201
36 St & 3 Ave,11232
Milton St & Franklin St,11222
Broadway & Berry St,11249
Warren St & Smith St,11201
Motorgate,10044
6 Ave & Walker St,10013
Bayard St & Baxter St,10013
5 Ave & E 93 St,10128
Rutgers St & Henry St,10002
E 7 St & Avenue A,10009
W 13 St & 5 Ave,10011
Kent Ave & Division Ave,11249
Market St & Cherry St,10002
Vernon Blvd & 50 Ave,11101
Bergen St & Smith St,11201
Greenwich Ave & 8 Ave,10014
India St & Manhattan Ave,11222
Park Ave & St Edwards St,11205
South St & Whitehall St,10004
Atlantic Ave & Fort Greene Pl,11217
West St & Chambers St,10006
W 34 St & 11 Ave,10001
Allen St & Hester St,10002
Lispenard St & Broadway,10013
Adams St & 2 St,7030
Pitt St & Stanton St,10002
Willow Ave & 12 St,7030
Sherman Ave & Thayer St,10040
E 171 St & Webster Ave,10456
21 St & 21 Ave,11105
Alexander Ave & E 134 St,10454
Morris Ave & E 153 St,10451
Union St,7304
56 Dr & 59 St,11378
E 165 St & Clay Ave,10456
McDonald Ave & Vanderbilt St,11218
31 Ave & 14 St,11106
29 St & 5 Ave,11232
10 Ave & W 204 St,10034
Bergen Ave & Stegman St,7305
49 Ave & 21 St,11101
Wyckoff Av & Stanhope St,11237
Central Ave & Flushing Ave,11206
Lewis Ave & Madison St,11221
12 Ave & 36 St,11218
Throop Ave & Myrtle Ave,11206
57 Rd & 58 St,11378
Eliot Ave & 60 Ln,11378
Hazen St & 20 Ave,11370
Center Blvd & 51 Ave,11101
Frost St & Debevoise Ave,11222
E 102 St & 1 Ave,10029
Mama Johnson Field - 4 St & Jackson St,7030
Sharon St & Olive St,11211
7 St & 3 Ave,11215
Rutland Rd & E 45 St,11203
Morgan Ave & Maspeth Ave,11211
Forsyth St & Canal St,10002
Columbus Park - Clinton St & 9 St,7030
61 St & Queens Blvd,11377
58 St & Pier 4,11220
Lexington Ave & E 111 St,10029
3 Ave & Schermerhorn St,11217
Church Ave & McDonald Ave,11218
36 St & 4 Ave,11232
Whitehall St & Bridge St,10004
Ashland Pl & Dekalb Ave,11201
E 3 St & 1 Ave,10003
E 1 St & 1 Ave,10003
E 11 St & 3 Ave,10003
Dock 72 Way & Market St,11205
Jersey & 3rd,7302
Dyckman St & Staff St,10034
Webster Ave & Ford St,10457
Walnut Ave & E 136 St,10454
Kingston Ave & Montgomery St,11225
72 St & Woodside Ave,11377
Washington St,7310
Decatur Ave & Bedford Park Blvd,10458
Bulova Ave & Brooklyn Queens Expressway W,11377
Frederick Douglass Blvd & Harlem River Dr,10039
Front St & Jay St,11207
Withers St & Kingsland Ave,11211
Grand St & 14 St,7030
5 Ave & 66 St,11220
21 St & 38 Ave,11101
39 St & 47 Ave,11101
Wyckoff Ave & Cooper Ave,11237
Bailey Ave & Sedgwick Ave,10468
Schenectady Ave & Pacific St,11213
17 St & 5 Ave,11215
Grand Ave & Remsen Pl,11378
Bradley Ave & Greenpoint Ave,11101
Freeman St & Southern Blvd,10459
